study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,initial_template_count,final_template_count,unknown_stream_fraction
bit_ablation_drift,bits64_static,0.3537715041905602,0.34849967930138814,0.3523754710135522,1.0,0.3537715041905602,0.0,0.0,0.0,0,0.0,12,12,0.0
bit_ablation_drift,bits8_counter,0.6929863255403617,0.6751938048427153,0.6973078559908172,1.0,0.6929863255403617,0.0,0.0,0.0,12,0.0,12,12,0.0
bit_ablation_drift,bits8_static,0.690339655932951,0.6710243674020271,0.6946923961284058,1.0,0.690339655932951,0.0,0.0,0.0,0,0.0,12,12,0.0
init_ablation_drift,majority_vote_counter,0.4534627260696956,0.45127984812639393,0.4517555092532463,1.0,0.4534627260696956,0.0,0.0,0.0,76,0.39473684210526316,12,12,0.0
init_ablation_drift,majority_vote_static,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
init_ablation_drift,medoid_counter,0.41552712836347594,0.41779179590253496,0.4143016723793567,1.0,0.41552712836347594,0.0,0.0,0.0,77,0.5064935064935064,12,12,0.0
init_ablation_drift,medoid_static,0.41243934715483016,0.4154095546392629,0.41146667690850586,1.0,0.41243934715483016,0.0,0.0,0.0,0,0.0,12,12,0.0
init_ablation_drift,stable_mask_counter,0.7556241729157477,0.7264002201144718,0.7576861583783021,1.0,0.7556241729157477,0.0,0.0,0.0,1153,0.2619254119687771,12,12,0.0
init_ablation_drift,stable_mask_static,0.7556241729157477,0.7264002201144718,0.7576861583783021,1.0,0.7556241729157477,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,normal_thr10,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,normal_thr12,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,normal_thr2,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,normal_thr4,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
encoder_threshold_calibration_drift,normal_thr6,0.17820908689898543,0.05092348433626324,0.1634304207119741,1.0,0.17820908689898543,0.0,0.0,0.0,0,0.0,12,12,0.0
